 INFO  Accepting connections at http://localhost:3000
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 GET /assets/models/aimouto.vrm
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 Returned 200 in 0 ms
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 GET /favicon.ico
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 Returned 404 in 3 ms
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 GET /assets/anims/Angry.fbx
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 Returned 304 in 0 ms
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 GET /assets/anims/Neutral_Idle.fbx
 HTTP  2026. 2. 23. 오전 3:01:28 ::1 Returned 304 in 1 ms
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 GET /assets/anims/Happy.fbx
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 Returned 304 in 1 ms
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 GET /assets/anims/Sad_Idle.fbx
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 Returned 304 in 1 ms
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 GET /assets/anims/Laughing.fbx
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 Returned 304 in 0 ms
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 GET /assets/anims/Standing_Idle.fbx
 HTTP  2026. 2. 23. 오전 3:01:29 ::1 Returned 304 in 0 ms
